samples
"No me hago al lao de la güeya [SEP]  Aunque vengan degollando, [SEP]  Con los blandos yo soy blando [SEP]  Y soy duro con los duros, [SEP]  Y ninguno en un apuro [SEP]  Me ha visto andar tutubiando. "
"En el peligro, ¡qué Cristos! [SEP]  El corazón se me enancha, [SEP]  Pues toda la tierra es cancha, [SEP]  Y de eso naides se asombre: [SEP]  El que se tiene por hombre [SEP]  Ande quiere hace pata ancha. "
"Soy gaucho, y entiendaló [SEP]  Como mi lengua lo esplica: [SEP]  Para mí la tierra es chica [SEP]  Y pudiera ser mayor; [SEP]  Ni la víbora me pica [SEP]  Ni quema mi frente el sol "
Nací como nace el peje [SEP]  En el fondo de la mar; [SEP]  Naides me puede quitar [SEP]  Aquello que Dios me dio [SEP]  Lo que al mundo truje yo [SEP]  Del mundo lo he de llevar. 
"Mi gloria es vivir tan libre [SEP]  Como el pájaro del cielo: [SEP]  No hago nido en este suelo [SEP]  Ande hay tanto que sufrir, [SEP]  Y naides me ha de seguir [SEP]  Cuando yo remuento el vuelo. "
"Yo no tengo en el amor [SEP]  Quien me venga con querellas; [SEP]  Como esas aves tan bellas [SEP]  Que saltan de rama en rama, [SEP]  Yo hago en el trébol mi cama, [SEP]  Y me cubren las estrellas. "
"Y sepan cuantos escuchan [SEP]  De mis penas el relato, [SEP]  Que nunca peleo ni mato [SEP]  Sino por necesidá, [SEP]  Y que a tanta alversidá [SEP]  Sólo me arrojó el mal trato "
"Y atiendan la relación [SEP]  que hace un gaucho perseguido, [SEP]  que padre y marido ha sido [SEP]  empeñoso y diligente, [SEP]  y sin embargo la gente [SEP]  lo tiene por un bandido "
"Ninguno me hable de penas, [SEP]  porque yo penado vivo, [SEP]  y naides se muestre altivo [SEP]  aunque en el estribo esté: [SEP]  que suele quedarse a pie [SEP]  el gaucho mas alvertido. "
"Junta esperencia en la vida [SEP]  hasta pa dar y prestar [SEP]  quien la tiene que pasar [SEP]  entre sufrimiento y llanto, [SEP]  porque nada enseña tanto [SEP]  como el sufrir y el llorar. "
"Viene el hombre ciego al mundo, [SEP]  cuartiándolo la esperanza, [SEP]  y a poco andar ya lo alcanzan [SEP]  las desgracias a empujones, [SEP]  ¡la pucha, que trae liciones [SEP]  el tiempo con sus mudanzas! "
Yo he conocido esta tierra [SEP]  en que el paisano vivía [SEP]  y su ranchito tenía [SEP]  y sus hijos y mujer... [SEP]  era una delicia el ver [SEP]  como pasaba sus días. 
"Entonces... cuando el lucero [SEP]  brillaba en el cielo santo, [SEP]  y los gallos con su canto [SEP]  nos decían que el día llegaba, [SEP]  a la cocina rumbiaba [SEP]  el gaucho... que un encanto. "
"Y sentao junto al jogón [SEP]  a esperar que venga el día, [SEP]  al cimarrón le prendía [SEP]  hasta ponerse rechoncho, [SEP]  mientras su china dormía [SEP]  tapadita con su poncho. "
"Y apenas la madrugada [SEP]  empezaba coloriar, [SEP]  los pájaros a cantar, [SEP]  y las gallinas a apiarse, [SEP]  era cosa de largarse [SEP]  cada cual a trabajar. "
"Este se ata las espuelas, [SEP]  se sale el otro cantando, [SEP]  uno busca un pellón blando, [SEP]  este un lazo, otro un rebenque, [SEP]  y los pingos relinchando [SEP]  los llaman dende el palenque. "
"El que era pion domador [SEP]  enderezaba al corral, [SEP]  ande estaba el animal [SEP]  bufidos que se las pela... [SEP]  y más malo que su agüela, [SEP]  se hacia astillas el bagual. "
"Y allí el gaucho inteligente, [SEP]  en cuanto el potro enriendó, [SEP]  los cueros le acomodó [SEP]  y se le sentó en seguida, [SEP]  que el hombre muestra en la vida [SEP]  la astucia que Dios le dio. "
"Y en las playas corcoviando [SEP]  pedazos se hacía el sotreta [SEP]  mientras él por las paletas [SEP]  le jugaba las lloronas, [SEP]  y al ruido de las caronas [SEP]  salía haciendo gambetas. "
"¡Ah, tiempos!... ¡Si era un orgullo [SEP]  ver jinetear un paisano! [SEP]  Cuando era gaucho baquiano, [SEP]  aunque el potro se boliase, [SEP]  no había uno que no parese [SEP]  con el cabresto en la mano. "
"Y mientras domaban unos, [SEP]  otros al campo salían [SEP]  y la hacienda recogían, [SEP]  las manadas repuntaban, [SEP]  y ansí sin sentir pasaban [SEP]  entretenidos el día. "
"Y verlos al cair la tarde [SEP]  en la cocina riunidos, [SEP]  con el juego bien prendido [SEP]  y mil cosas que contar, [SEP]  platicar muy divertidos [SEP]  hasta después de cenar. "
"Y con el buche bien lleno [SEP]  era cosa superior [SEP]  irse en brazos del amor [SEP]  a dormir como la gente, [SEP]  pa empezar el día siguiente [SEP]  las fainas del día anterior. "
Ricuerdo ¡qué maravilla! [SEP]  Cómo andaba la gauchada [SEP]  siempre alegre y bien montada [SEP]  y dispuesta pa el trabajo... [SEP]  pero hoy en día... ¡barajo! [SEP]  No se la ve de aporriada. 
"El gaucho más infeliz [SEP]  tenía tropilla de un pelo, [SEP]  no le faltaba un consuelo [SEP]  y andaba la gente lista... [SEP]  teniendo al campo la vista, [SEP]  sólo vía hacienda y cielo. "
"Cuando llegaban las yerras, [SEP]  ¡cosa que daba calor! [SEP]  Tanto gaucho pialador [SEP]  y tironiador sin yel. [SEP]  ¡Ah, tiempos... pero si en él [SEP]  se ha visto tanto primor! "
"Aquello no era trabajo, [SEP]  mas bien era una junción, [SEP]  y después de un güen tirón [SEP]  en que uno se daba mana, [SEP]  pa darle un trago de cana [SEP]  solía llamarlo el patrón. "
"Pues vivía la mamajuana [SEP]  siempre bajo la carreta, [SEP]  y aquel que no era chancleta, [SEP]  en cuanto el goyete vía, [SEP]  sin miedo se le prendía [SEP]  como güérfano a la teta. "
"¡Y qué jugadas se armaban [SEP]  cuando estábamos riunidos! [SEP]  Siempre íbamos prevenidos, [SEP]  pues en tales ocasiones [SEP]  a ayudarle a los piones [SEP]  caiban muchos comedidos. "
"Eran los días del apuro [SEP]  y alboroto pa el hembraje, [SEP]  pa preparar los potajes [SEP]  y osequiar bien a la gente, [SEP]  y así, pues, muy grandemente, [SEP]  pasaba siempre el gauchaje. "
"Vení, a la carne con cuero, [SEP]  la sabrosa carbonada, [SEP]  mazamorra pien pisada, [SEP]  los pasteles y el güen vino... [SEP]  pero ha querido el destino [SEP]  que todo aquello acabara. "
"Estaba el gaucho en su pago [SEP]  con toda siguridá, [SEP]  pero aura... ¡barbaridá!, [SEP]  La cosa anda tan fruncida, [SEP]  que gasta el pobre la vida [SEP]  en juir de la autoridá. "
"Pues si usté pisa en su rancho [SEP]  y si el alcalde lo sabe, [SEP]  lo caza lo mesmo que ave [SEP]  aunque su mujer aborte... [SEP]  ¡no hay tiempo que no se acabe [SEP]  ni tiento que no se corte!. "
"Y al punto dese por muerto [SEP]  si el alcalde lo bolea, [SEP]  pues ahí nomás se le apea [SEP]  con una felpa de palos; [SEP]  Y después dicen que es malo [SEP]  el gaucho si los pelea. "
"Y el lomo le hinchan a golpes, [SEP]  y le rompen la cabeza, [SEP]  y luego con ligereza, [SEP]  ansí lastimao y todo, [SEP]  lo amarran codo a codo [SEP]  y pa el cepo lo enderiezan. "
"Áhi comienzan sus desgracias, [SEP]  áhi principia el pericón, [SEP]  porque ya no hay salvación, [SEP]  y que usté quiera o no quiera, [SEP]  lo mandan a la frontera [SEP]  o lo echan a un batallón. "
"Ansí empezaron mis males [SEP]  lo mesmo que los de tantos; [SEP]  si gustan... en otros cantos [SEP]  les diré lo que he sufrido, [SEP]  después que uno está... perdido [SEP]  no lo salvan ni los santos. "
"tuve en mi pago en un tiempo [SEP]  hijos, hacienda y mujer, [SEP]  pero empecé a padecer, [SEP]  me echaron a la frontera, [SEP]  ¡y qué iba a hallar al volver! [SEP]  Tan sólo hallé la tapera. "
"Sosegao vivía en mi rancho [SEP]  como el pájaro en su nido, [SEP]  allí mis hijos queridos [SEP]  iban creciendo a mi lao... [SEP]  sólo queda al desgraciao [SEP]  lamentar el bien perdido. "
"Mi gala en las pulperías [SEP]  era, en habiendo más gente, [SEP]  ponerme medio caliente, [SEP]  pues cuando puntiao me encuentro [SEP]  me salen coplas de adentro [SEP]  como agua de la virtiente. "
"Cantando estaba una vez [SEP]  en una gran diversión, [SEP]  y aprovecho la ocasión [SEP]  como quiso el juez de paz... [SEP]  se presentó, y ahi nomás [SEP]  hizo arriada en montón. "
"Juyeron los más matreros [SEP]  y lograron escapar: [SEP]  yo no quise disparar, [SEP]  soy manso y no había porqué, [SEP]  muy tranquilo me quedé [SEP]  y ansí me dejé agarrar "
"allí un gringo con un órgano [SEP]  y una mona que bailaba, [SEP]  haciéndonos rair estaba, [SEP]  cuanto le tocó el arreo, [SEP]  ¡tan grande el gringo y tan feo, [SEP]  lo viera cómo lloraba!. "
"Hasta un inglés zanjiador [SEP]  que decía en la última guerra [SEP]  que él era de incalaperra [SEP]  y que no quería servir, [SEP]  también tuvo que juir [SEP]  a guarecerse en la sierra. "
"Ni los mirones salvaron [SEP]  de esa arriada de mi flor, [SEP]  fue acoyarao el cantor [SEP]  con el gringo de la mona, [SEP]  a uno solo, por favor, [SEP]  logró salvar la patrona. "
"Formaron un contingente [SEP]  con los que del baile arriaron, [SEP]  con otros nos mesturaron, [SEP]  que habían agarrao también, [SEP]  las cosas que aquí se ven [SEP]  ni los diablos las pensaron. "
"A mí el juez me tomó entre ojos [SEP]  en la ultima votación: [SEP]  me le había hecho el remolón [SEP]  y no me arrimé ese día, [SEP]  y él dijo que yo servía [SEP]  a los de la esposición. "
"Y ansí sufrí ese castigo [SEP]  tal vez por culpas ajenas, [SEP]  que sean malas o sean güenas [SEP]  las listas, siempre me escondo: [SEP]  yo soy un gaucho redondo [SEP]  y esas cosas no me enllenan. "
"Al mandarnos nos hicieron [SEP]  más promesas que a un altar, [SEP]  el juez nos jue a proclamar [SEP]  y nos dijo muchas veces: [SEP]  muchachos, a los seis meses [SEP]  los van a ir a relevar. "
Yo llevé un moro de número [SEP]  ¡sobresaliente el matucho! [SEP]  Con él gané en ayacucho [SEP]  más plata que agua bendita: [SEP]  siempre el gaucho necesita [SEP]  un pingo pa fiarle un pucho. 
"Y cargué sin dar mas güeltas [SEP]  con las prendas que tenía: [SEP]  jergas, ponchos, todo cuanto había [SEP]  en casa, tuito lo alcé: [SEP]  a mi china la dejé [SEP]  medio desnuda ese día. "
"No me falta una guasca, [SEP]  esa ocasión eché el resto, [SEP]  bozal, maniador, cabresto, [SEP]  lazo, bolas y manea... [SEP]  ¡el que hoy tan pobre me vea [SEP]  tal vez no creerá todo esto!. "
"Ansí en mi moro, escarciando, [SEP]  enderecé a la frontera. [SEP]  ¡Aparcero si usté viera [SEP]  lo que se llama cantón!... [SEP]  Ni envidia tengo al ratón [SEP]  en aquella ratonera. "
"De los pobres que allí había [SEP]  a ninguno lo largaron, [SEP]  los más viejos rezongaron, [SEP]  pero a uno que se quejó [SEP]  en seguida lo estaquiaron, [SEP]  y la cosa se acabó. "
"En la lista de la tarde [SEP]  el jefe nos cantó el punto [SEP]  diciendo: quinientos juntos [SEP]  llevará el que se resierte; [SEP]  lo haremos pitar del juerte, [SEP]  mas bien dese por dijunto. "
"A naides le dieron armas, [SEP]  pues toditas las que había [SEP]  el coronel las tenía, [SEP]  sigún dijo esa ocasión, [SEP]  pa repartirlas el día [SEP]  en que hubiera una invasión. "
"Al principio nos dejaron [SEP]  de haraganes criando sebo, [SEP]  pero después... no me atrevo [SEP]  a decir lo que pasaba... [SEP]  ¡barajo!... Si nos trataban [SEP]  como se trata a malevos. "
"Porque todo era jugarle [SEP]  por los lomos con la espada, [SEP]  y aunque usté no hiciera nada, [SEP]  lo mesmito que en palermo, [SEP]  le daban cada cepiada [SEP]  que lo dejaban enfermo. "
"¡Y qué indios, ni qué servicio; [SEP]  si allí no había ni cuartel! [SEP]  Nos mandaba el coronel [SEP]  a trabajar en sus chacras, [SEP]  y dejábamos las vacas [SEP]  que las llevara el infiel. "
"Yo primero sembré trigo [SEP]  y después hice un corral, [SEP]  corté adobe pa un tapial, [SEP]  hice un quincho, corté paja... [SEP]  ¡la pucha que se trabaja [SEP]  sin que le larguen un rial!. "
"Y es lo pior de aquel enriedo [SEP]  que si uno anda hinchando el lomo [SEP]  se le apean como un plomo... [SEP]  ¡quién aguanta aquel infierno! [SEP]  si eso es servir al gobierno, [SEP]  a mí no me gusta el cómo. "
"Más de un año nos tuvieron [SEP]  en esos trabajos duros; [SEP]  y los indios, le asiguro [SEP]  dentraban cuando querían: [SEP]  como no los perseguían, [SEP]  siempre andaban sin apuro. "
"A veces decía al volver [SEP]  del campo la descubierta [SEP]  que estuviéramos alerta, [SEP]  que andaba adentro la indiada, [SEP]  porque había una rastrillada [SEP]  o estaba una yegua muerta. "
"Recién entonces salía [SEP]  la orden de hacer la riunión, [SEP]  y caíbamos al cantón [SEP]  en pelos y hasta enancaos, [SEP]  sin armas, cuatro pelaos [SEP]  que íbamos a hacer jabón. "
"Ahi empezaba el afán [SEP]  -se entiende, de puro vicio- [SEP]  de enseñarle el ejercicio [SEP]  a tanto gaucho recluta, [SEP]  con un estrutor... ¡qué... Bruta! [SEP]  que nunca sabía su oficio. "
"Daban entonces las armas [SEP]  pa defender los cantones, [SEP]  que eran lanzas y latones [SEP]  con ataduras de tiento... [SEP]  las de juego no las cuento [SEP]  porque no había municiones. "
Y un sargento chamuscao [SEP]  me contó que las tenían [SEP]  pero que ellos la vendían [SEP]  para cazar avestruces; [SEP]  y así andaban noche y día [SEP]  dele bala a los ñanduces. 
"Y cuando se iban los indios [SEP]  con lo que habían manotiao, [SEP]  salíamos muy apuraos [SEP]  a perseguirlos de atrás; [SEP]  si no se llevaban más [SEP]  es porque no habían hallao. "
"Allí sí, se ven desgracias [SEP]  y lágrimas y afliciones; [SEP]  naides le pida perdones [SEP]  al indio: pues donde dentra, [SEP]  roba y mata cuanto encuentra [SEP]  y quema las poblaciones. "
"No salvan de su juror [SEP]  ni los pobres angelitos; [SEP]  viejos, mozos y chiquitos [SEP]  los mata del mesmo modo: [SEP]  que el indio lo arregla todo [SEP]  con la lanza y con gritos. "
"Tiemblan las carnes al verlo [SEP]  volando al viento la cerda, [SEP]  la rienda en la mano izquierda [SEP]  y la lanza en la derecha; [SEP]  ande enderieza abre brecha [SEP]  pues no hay lanzazo que pierda. "
"Hace trotiadas tremendas [SEP]  desde el fondo del desierto; [SEP]  ansí llega medio muerto [SEP]  de hambre, de sé y de fatiga; [SEP]  pero el indio es una hormiga [SEP]  que día y noche está despierto. "
"Sabe manejar las bolas [SEP]  como naides las maneja; [SEP]  cuanto el contrario se aleja, [SEP]  manda una bola perdida, [SEP]  y si lo alcanza, sin vida [SEP]  es siguro que lo deja. "
"Y el indio es como tortuga [SEP]  de duro para espichar; [SEP]  si lo llega a destripar [SEP]  ni siquiera se le encoge; [SEP]  luego sus tripas recoge, [SEP]  y se agacha a disparar. "
"Hacían el robo a su gusto [SEP]  y después se iban de arriba; [SEP]  se llevaban las cautivas, [SEP]  y nos contaban que a veces [SEP]  les descarnaban los pieses, [SEP]  a las pobrecitas, vivas. "
"¡Ah! ¡si partía el corazón [SEP]  ver tantos males, canejo! [SEP]  los perseguíamos de lejos [SEP]  sin poder ni galopiar; [SEP]  ¡y qué habíamos de alcanzar [SEP]  en unos vichocos viejos! "
"Nos volvíamos al cantón [SEP]  a las dos o tres jornadas, [SEP]  sembrando las caballadas; [SEP]  y pa que alguno la venda, [SEP]  rejuntábamos la hacienda [SEP]  que habían dejao rezagada. "
"Una vez entre otras muchas, [SEP]  tanto salir al botón, [SEP]  nos pegaron un malón [SEP]  los indios y una lanciada, [SEP]  que la gente acobardada [SEP]  quedó dende esa ocasión. "
Habían estao escondidos [SEP]  aguaitando atrás de un cerro... [SEP]  ¡lo viera a su amigo Fierro [SEP]  aflojar como un blandito! [SEP]  salieron como maíz frito [SEP]  en cuanto sonó un cencerro. 
"Al punto nos dispusimos [SEP]  aunque ellos eran bastantes; [SEP]  la formamos al instante [SEP]  nuestra gente, que era poca, [SEP]  y golpiándose en la boca [SEP]  hicieron fila adelante. "
"Se vinieron en tropel [SEP]  haciendo temblar la tierra. [SEP]  no soy manco pa la guerra [SEP]  pero tuve mi jabón, [SEP]  pues iba en un redomón [SEP]  que había boleao en la sierra. "
"¡Qué vocerío! ¡qué barullo! [SEP]  ¡qué apurar esa carrera! [SEP]  la indiada todita entera [SEP]  dando alaridos cargó, [SEP]  ¡jue pucha!... Y ya nos sacó [SEP]  como yeguada matrera. "
"¡Qué fletes traiban los bárbaros! [SEP]  ¡como una luz de ligeros! [SEP]  hicieron el entrevero [SEP]  y en aquella mezcolanza, [SEP]  este quiero, éste no quiero, [SEP]  nos escogían con la lanza. "
"Al que le daban un chuzazo, [SEP]  dificultoso es que sane. [SEP]  en fin, para no echar panes, [SEP]  salimos por esas lomas, [SEP]  lo mesmo que las palomas [SEP]  al juir de los gavilanes. "
"¡Es de almirar la destreza [SEP]  con que la lanza manejan! [SEP]  de perseguir nunca dejan, [SEP]  y nos traiban apretaos. [SEP]  ¡si queríamos, de apuraos, [SEP]  salirnos por las orejas! "
"Y pa mejor de la fiesta [SEP]  en esa aflición tan suma, [SEP]  vino un indio echando espuma, [SEP]  y con la lanza en la mano, [SEP]  gritando: acabáu cristiano, [SEP]  metau el lanza hasta el pluma. "
"Tendido en el costillar, [SEP]  cimbrando por sobre el brazo [SEP]  una lanza como un lazo, [SEP]  me atropelló dando gritos: [SEP]  si me descuido... El maldito [SEP]  me levanta de un lanzazo. "
"Si me atribulo o me encojo, [SEP]  siguro que no me escapo: [SEP]  siempre he sido medio guapo, [SEP]  pero en aquella ocasión [SEP]  me hacía buya el corazón [SEP]  como la garganta al sapo. "
Dios le perdone al salvaje [SEP]  las ganas que me tenía... [SEP]  desaté las tres marías [SEP]  y lo engatusé a cabriolas... [SEP]  ¡pucha...! Si no traigo bolas [SEP]  me achura el indio ese día. 
"Era el hijo de un cacique, [SEP]  sigún yo lo averigüé; [SEP]  la verdá del caso jue [SEP]  que me tuvo apuradazo, [SEP]  hasta que por fin de un bolazo [SEP]  del caballo lo bajé. "
Ahi no más me tiré al suelo [SEP]  y lo pisé en las paletas; [SEP]  empezó a hacer morisquetas [SEP]  y a mezquinar la garganta... [SEP]  pero yo hice la obra santa [SEP]  de hacerlo estirar la jeta. 
"Allí quedó de mojón [SEP]  y en su caballo salté; [SEP]  de la indiada disparé, [SEP]  pues si me alcanza me mata, [SEP]  y al fin me les escapé, [SEP]  con el hilo de una pata. "
"seguiré esta relación, [SEP]  aunque pa chorizo es largo: [SEP]  el que pueda hágase cargo [SEP]  cómo andaría de matrero, [SEP]  después de salvar el cuero [SEP]  de aquel trance tan amargo. "
"Del sueldo nada les cuento, [SEP]  porque andaba disparando; [SEP]  nosotros de cuando en cuando [SEP]  solíamos ladrar de pobres: [SEP]  nunca llegaban los cobres [SEP]  que se estaban aguardando. "
"Y andábamos de mugrientos [SEP]  que el mirarnos daba horror; [SEP]  les juro que era un dolor [SEP]  ver esos hombres, ¡por cristo! [SEP]  En mi perra vida he visto [SEP]  una miseria mayor. "
Yo no tenía ni camisa [SEP]  ni cosa que se parezca; [SEP]  mis trapos sólo pa yesca [SEP]  me podían servir al fin... [SEP]  no hay plaga como un fortín [SEP]  para que el hombre padezca. 
"Poncho, jergas, el apero, [SEP]  las prenditas, los botones, [SEP]  todo, amigo, en los cantones [SEP]  jue quedando poco a poco; [SEP]  ya me tenían medio loco [SEP]  la pobreza y los ratones. "
Sólo una manta peluda [SEP]  era cuanto me quedaba [SEP]  la había agenciao a la tabla [SEP]  y ella me tapaba el bulto; [SEP]  yaguané que allí ganaba [SEP]  no salía- ni con indulto. 
"Y pa mejor hasta el moro [SEP]  se me jue de entre las manos; [SEP]  no soy lerdo pero, hermano, [SEP]  vino el comendante un día [SEP]  diciendo que lo quería [SEP]  pa enseñarle a comer grano. "
"Afigúrese cualquiera [SEP]  la suerte de este su amigo, [SEP]  a pie y mostrando el umbligo, [SEP]  estropiao, pobre y desnudo; [SEP]  ni por castigo se pudo [SEP]  hacerse más mal conmigo. "
"Ansí pasaron los meses, [SEP]  y vino el año siguiente, [SEP]  y las cosas igualmente [SEP]  siguieron del mesmo modo: [SEP]  adrede parece todo [SEP]  pa atormentar a la gente. "
"No teníamos más permiso, [SEP]  ni otro alivio la gauchada, [SEP]  que salir de madrugada, [SEP]  cuando no había indio ninguno, [SEP]  campo ajuera a hacer boliadas [SEP]  desocando los reyunos. "
"Y cáibamos al cantón [SEP]  con los fletes aplastaos, [SEP]  pero a veces medio aviaos [SEP]  con plumas y algunos cueros, [SEP]  que pronto con el pulpero [SEP]  los teníamos negociaos. "
"Era un amigo del jefe [SEP]  que con un boliche estaba; [SEP]  yerba y tabaco nos daba [SEP]  por la pluma de avestruz, [SEP]  y hasta le hacía ver la luz [SEP]  al que un cuero le llevaba. "
"Sólo tenía cuatro frascos [SEP]  y unas barricas vacías, [SEP]  y a la gente le vendía [SEP]  todo cuanto precisaba... [SEP]  algunos creiban que estaba [SEP]  allí la proveduría. "
"¡Ah, pulpero habilidoso! [SEP]  Nada le solía faltar. [SEP]  ¡Ahijuna!, Para tragar [SEP]  tenía un buche de ñandú; [SEP]  la gente le dio en llamar [SEP]  el boliche de virtú. "
"Aunque es justo que quien vende [SEP]  algún poquito muerda, [SEP]  tiraba tanto la cuerda [SEP]  que, con sus cuatro limetas [SEP]  él cargaba las carretas [SEP]  de plumas, cueros y cerda. "
"Nos tenía apuntaos a todos [SEP]  con más cuentas que un rosario, [SEP]  cuando se anunció un salario [SEP]  que iban a dar, o un socorro; [SEP]  pero sabe Dios qué zorro [SEP]  se lo comió al comisario; "
"pues nunca lo vi llegar, [SEP]  y al cabo de muchos días [SEP]  en la mesma pulpería [SEP]  dieron una güena cuenta, [SEP]  que la gente muy contenta [SEP]  de tan pobre recibía. "
"Sacaron unos sus prendas, [SEP]  que las tenían empeñadas; [SEP]  por sus deudas atrasadas [SEP]  dieron otros el dinero; [SEP]  al fin de fiesta el pulpero [SEP]  se quedó con la mascada. "
"Yo me arrescosté a un horcón [SEP]  dando tiempo a que pagaran, [SEP]  y poniendo güena cara [SEP]  estuve haciéndome el poyo, [SEP]  a esperar que me llamaran [SEP]  para recibir mi boyo. "
"Pero ahi me puede quedar [SEP]  pegao pa siempre al horcón, [SEP]  ya era casi la oración [SEP]  y ninguno me llamaba; [SEP]  la cosa se me ñublaba [SEP]  y me dentró comezón. "
"Pa sacarme el entripao [SEP]  vi al mayor, y lo fi a hablar; [SEP]  yo me lo empecé a atracar, [SEP]  y como con poca gana [SEP]  le dije: tal vez mañana [SEP]  acabarán de pagar. "
"¡Que mañana ni otro día!, [SEP]  Al punto me contestó: [SEP]  la paga ya se acabó; [SEP]  ¡siempre has de ser animal! [SEP]  Me raí y le dije: yo... [SEP]  no he recebido ni un rial. "
"Se le pusieron los ojos [SEP]  que se le querían salir, [SEP]  y ahi no más volvió a decir [SEP]  comiéndome con la vista: [SEP]  ¿y qué querés recibir [SEP]  si no has dentrao en la lista? "
"Esto sí que es amolar, [SEP]  dije yo pa mis adentros; [SEP]  van dos años que me encuentro [SEP]  y hasta aura he visto ni un grullo; [SEP]  dentro en todos los barullos [SEP]  pero en las listas no dentro. "
Vide el pleito mal parao [SEP]  y no quise aguardar más... [SEP]  es güeno vivir en paz [SEP]  con quien nos ha de mandar; [SEP]  y reculando pa atrás [SEP]  me le empecé a retirar. 
"Supo todo el comendante [SEP]  y me llamó al otro día, [SEP]  diciéndome que quería [SEP]  aviriguar bien las cosas... [SEP]  que no era el tiempo de rosas, [SEP]  que aura a naides se debía. "
"Llamó al cabo y al sargento [SEP]  y empezó la indagación: [SEP]  si había venido al cantón [SEP]  en tal tiempo o en tal otro... [SEP]  y si había venido en potro, [SEP]  en reyuno o redomón. "
"Y todo era alborotar [SEP]  al ñudo, y hacer papel; [SEP]  conocí que era pastel [SEP]  pa engordar con mi guayaca; [SEP]  mas si voy al coronel [SEP]  me hacen bramar en la estaca. "
"¡Ah, hijos de una...! ¡La codicia [SEP]  ojalá les ruempa el saco! [SEP]  Ni un pedazo de tabaco [SEP]  le dan al pobre soldao, [SEP]  y lo tienen, de delgao, [SEP]  más ligero que un guanaco. "
"Pero qué iba a hacerles yo, [SEP]  charabón en el desierto; [SEP]  más bien me daba por muerto [SEP]  pa no verme más fundido: [SEP]  y me les hacía el dormido [SEP]  aunque soy medio despierto. "
"Yo andaba desesperao, [SEP]  aguardando una ocasión [SEP]  que los indios un malón [SEP]  nos dieran, y entre el estrago [SEP]  hacérmeles cimarrón [SEP]  y volverme pa mi pago. "
Aquello no era servicio [SEP]  ni defender la frontera; [SEP]  aquello era ratonera [SEP]  en que sólo gana el juerte: [SEP]  era jugar a la suerte [SEP]  con una taba culera. 
"Allí tuito va al revés; [SEP]  los milicos son los piones, [SEP]  y andan en las poblaciones [SEP]  emprestaos pa trabajar; [SEP]  los rejuntan pa peliar [SEP]  cuando entran indios ladrones. "
"Yo he visto en esa milonga [SEP]  muchos jefes con estancia, [SEP]  y piones en abundancia, [SEP]  y majadas y rodeos; [SEP]  he visto negocios feos [SEP]  a pesar de mi inorancia. "
"Y colijo que no quieren [SEP]  la barunda componer; [SEP]  para eso no ha de tener, [SEP]  el jefe que esté de estable, [SEP]  más que su poncho y su sable, [SEP]  su caballo y su deber. "
"Ansina, pues, conociendo [SEP]  que aquel mal no tiene cura, [SEP]  que tal vez mi sepoltura [SEP]  si me quedo iba a encontrar, [SEP]  pensé mandarme mudar [SEP]  como cosa más sigura. "
